Variable,,PyGEM,OGGM,IGM,GloGEM,ISMIP,GlacierMIP4_standardized,Regional: Mandatory / Optional,Individual glaciers: Mandatory/optional,"Definition * 
* Glossary definition from https://wgms.ch/downloads/Cogley_etal_2011.pdf",Def. Alternative,Notes/refs
Area,Var. short name, ,area_m2,area,Area,,area_annual,Mandatory,optional,"The glacier area is the glaciated extent in two spatial dimensions, at the beginning of the calendar year, in m2.",,
,Var. long name,glacier area,,,Glacier Area,,Glacier area,,,,,
,Unit,m2,m2,km^2,km2,,m2,,,,,
,Sign,,,,,,,,,,,
,Data type,,,,double,,double,,,,,
,Temporal resolution,annual,annual,,Annual,,Annual,,,,,
,Metadata (if available),area at start of the year,Total glacier area,Glaciated area,Area at start of the year,,Glacier area at start of the year ???,,,,,
Mass,Var. short name,glac_mass_annual,volume_m3,vol,Volume,lim,mass_annual,Mandatory,optional,"Glacier mass is the product of the glacier area, the mean ice thickness and the ice density (900 kg/m3), in kg. ",,Which ice density: 900 kg/m3?
,Var. long name,Glacier mass,Volume,,Glacier Volume,land_ice_mass,Glacier mass,,,,,
,Unit,kg,m3,km^3,km3,kg,m.w.e / m3 / kg * ???,,,,,
,Sign,,,,,,,,,,,
,Data type,,,,double,,double,,,,,
,Temporal resolution,annual,annual,,Annual,Annual snapshot (end of year),Annual,,,,,
,Metadata (if available),mass of ice based on area and ice thickness at start of the year,Total glacier volume,Ice volume,Volume at start of the year,"spatial integration, volume times density",Total glacier mass at start of the year,,,,,
Mass below sea level,Var. short name,glac_mass_bsl_annual,volume_bsl_m3,,,,mass_bsl_annual,Mandatory,optional,,,
,Var. long name,glacier mass below sea level,,,,,Glacier mass below sea level,,,,,
,Unit,kg,m3,,,,m.w.e / m3 / kg * ???,,,,,
,Sign,,,,,,,,,,,
,Data type,double,,,,,double,,,,,
,Temporal resolution,annual,annual,,,,annual,,,,,
,Metadata (if available),mass of ice below sea level based on area and ice thickness at start of the year,Glacier volume below sea-level,,,,Glacier mass below sea level of tidewater glaciers at start/end ? of the year,,,,,
Frontal ablation,,,,,,,,Mandatory,optional,"Frontal ablation: Loss of mass from a near-vertical glacier margin, such as a calving front. The processes of mass loss can include calving, subaerial melting and subaerial sublimation, and subaqueous frontal melting. Calving : The component of ablation consisting of the breaking off of discrete pieces of ice from a glacier margin into lake or sea water, producing icebergs, or onto land in the case of dry calving",,
,Var. short name,glac_frontalablation_monthly,calving_m3,,,tendlicalvf,frontalabl_annual,,,,,Calving: D ; Subaerial frontal melting and sublimation:  Af(air); Subaqueous frontal melting: Af(wtr); Frontal ablation: Af = D + Af(air) + Af(wtr)
,Var. long name,Frontal ablation,Calving,,Frontal Ablation,tendency_of_land_ice_mass_due_to_calving,Total annual frontal ablation,,,,,"Calving excludes frontal melting and sublimation, although in practice it may be difficult to measure the phenomena separately. For example subaqueous frontal melting may lead to the detachment of icebergs by undercutting or by encouraging the propagation of crevasses."
,Unit,m3,m3,,m w.e. yr-1,kg s-1,m.w.e / m3 / kg * ???,,,,,"Cogley et al (2011), P44"
,Data type,,,,double,,double,,,,,"Cogley et al (2011), P29"
,Temporal resolution,annual,annual,,Annual,Annual average,Annual,,,,,"Cogley et al (2011), P7"
,Metadata (if available),"glacier-wide frontal ablation, in water equivalent, mass losses from calving, subaerial frontal melting, sublimation above the waterline and subaqueous frontal melting below the waterline; positive values indicate mass lost like melt",Total accumulated calving flux,,Glacier mass lost at the front,spatial integration of total calving flux,"Frontal ablation of tidewater glaciers (mass losses from calving, subaerial frontal melting, sublimation above the waterline and subaqueous frontal melting below the waterline); positive values indicate mass lost like melt",,,,,"Cogley et al (2011), P29"
Mass balance,,,,,,,,Mandatory,optional,"The surface mass balance is the sum of surface accumulation and surface ablation, so this usage is accurate if the internal and basal terms in (1) are negligible. However an ambiguity arises because, in some recent studies, the meaning of “surface mass balance” has been extended so that it also includes internal accumulation. To avoid confusion the latter usage is better avoided, and instead we recommend the term climatic mass balance for the sum of the surface mass balance and the internal mass balance.",,
,Var. short name,glac_massbaltotal_monthly,climatic_mb_myr,smb,Annual_Balance_sfc,acabf,massbal_annual,,,,,
,Var. long name,Glacier wide total mass balance,Mass balance,Surface Mass Balance,Glacier Mass Balance,land_ice_surface_specific_mass_balance_flux,Total mass balance  ,,,,,
,Unit,m3,m yr-1,m i.e. yr-1,m w.e. yr-1,kg m-2 s-1,kg m-2,,,,,
,Sign,,,,,,,,,,,
,Data type,double,,,double,,double,,,,,
,Temporal resolution,Monthly,Annual,Annual,Annual,Annual average,monthly/annual,,,,,
,Metadata (if available),total mass balance is the sum of the climatic mass balance and frontal ablation,Climatic mass balance forcing,/,Glacier mass change,Surface Mass Balance flux,"Total mass balance (sum of accumulation, melt, refreezing and frontal ablation); mass gained is positive, mass removed is negative",,,,,
Accumulation,,,,,,,,Mandatory,optional,"Glacier-wide accumulation, defined as the sum of all processes that add mass to the glacier (e.g., snowfall, deposition, refreezing, internal accumulation).",,
,Var. short name,glac_acc_monthly,snowfall_on_glacier,/,Accumulation_sfc,,acc_month,,,,,
,Var. long name,Glacier wide accumulation,/,/,Accumulation over the RGI area,,Total accumulation,,,,,
,Unit,m3,kg yr-1,/,mm d⁻¹ or m w.e. yr-1,,m.w.e / m3 / kg * ???,,,,,
,Sign,,,,,,positive,,,,,
,Data type,double,/,/,double,,double,,,,,
,Temporal resolution,monthly,monthly,/,Daily or Annual,,monthly/annual,,,,,
,Metadata (if available),"glacier-wide accumulation, in water equivalent (only solid precip)",On-glacier solid precipitation,/,,,"Mass added to the glacier except for refreezing (e.g., snowfall, avalanches)",,,,,
Melt,,,,,,,,Mandatory,optional,"Glacier-wide melt (≈ ablation), representing the removal of mass through melting of snow, firn, or ice. Can be expressed as the sum of snowmelt and icemelt components.",,
,Var. short name,glac_melt_monthly,melt_on_glacier,/,icemelt/snowmelt ,,melt_month,,,,,
,Var. long name,Glacier wide melt,/,/,Icemelt/Snowmelt ,,Total snow- and icemelt,,,,,
,Unit,m3,kg yr-1,/,mm d⁻¹ or m w.e. yr-1,,m.w.e / m3 / kg * ???,,,,,
,Sign,,,,,,negative,,,,,
,Data type,double,/,/,double,,double,,,,,
,Temporal resolution,monthly,monthly,/,Daily or Annual,,monthly/annual,,,,,
,Metadata (if available),/,On-glacier melt,/,Icemelt and Snowmelt separated,,"Mass removed from the glacier except for frontal ablation (e.g., melt, evaporation); mass loss is negative",,,,,
Refreezing,,,,,,,,Mandatory,optional,"Refreezing of meltwater within the snowpack or glacier, contributing to internal accumulation?",,
,Var. short name,glac_refreeze_monthly,/,/,Refr,,refr_month,,,,,
,Var. long name,"glacier-wide refreeze, in water equivalent",/,/,Refreezing,,Total refreezing,,,,,
,Unit,m3,/,/,mm d⁻¹ or m w.e. yr-1,,m.w.e / m3 / kg * ???,,,,,
,Data type,double,/,/,double,,double,,,,,
,Temporal resolution,monthly,/,/,Daily or Annual,,monthly/annual ???,,,,,
,Metadata (if available),,/,/,Meltwater refreezing,,Total refreezing within the snowpack or glacier.,,,,,
Rain,,,,,,,,Mandatory,optional,,,
,Var. short name,,,/,Rain,,rain_month,,,,,
,Var. long name,,,/,Rain over domain,,Rainfall over glacier area ,,,,,
,Unit,,,/,m w.e. yr-1,,m.w.e / m3 / kg * ???,,,,,
,Sign,,,,,,positive,,,,,
,Data type,,,/,double,,double,,,,,
,Temporal resolution,,,/,Daily/Annual,,monthly,,,,,
,Metadata (if available),,,/,Rain over RGI area,,Rain (liquid recipitation) over glacierized area ,,,,,
Precipitation,,,* flowline specific,,,,,Mandatory,optional,Liquid or solid products of the condensation of water vapour that fall from clouds or are deposited from the air onto the surface.,Integration of solid and liquid precipitation rate reaching the ground over a time period defined in the metadata.,
,Var. short name,glac_prec_monthly,prcp,meanprec,,,precip_month,,,,,"Cogley et al. (2011), p74 "
,Var. long name,glacier-wide precipitation (liquid),,,,,Total precipitation,,,,,"GCOS ECV (2025), p18"
,Unit,m3,mm/year?,Kg m⁻² y⁻¹,,,m.w.e / m3 / kg * ???,,,,,https://library.wmo.int/records/item/58111-the-2022-gcos-ecvs-requirements
,Sign,,,,,,positive,,,,,
,Data type,double,,,,,double,,,,,
,Temporal resolution,monthly,annual,annual,,,monthly,,,,,
,Metadata (if available),"only the liquid precipitation, solid precipitation excluded",Sum?,,Rain + Acc = Total precip,,Total precipitation over glacierized area as used as input to accumulation calculations (i.e. after possible downscaling of gridded precipitation data),,,,,
Temperature,,,* flowline specific,,,* surface temperature,,Mandatory,optional,"Definition from ERA5 : The temperature of air at 2m above the surface of land, sea or inland waters. 2m temperature is calculated by interpolating between the lowest model level and the Earth's surface, taking account of the atmospheric conditions. ","Air temperature at a known height above surface, with the height specified in the metadata.",
,Var. short name,glac_temp_monthly,temp,meantemp,,litemptop,temp_month,,,,,"GCOS ECV (2025), p10"
,Var. long name,glacier-wide mean air temperature,,,,temperature_at_top_of_ice_sheet_model alias “temperature_at_ground_level_in_snow_or_firn”,Near-surface air temperature,,,,,"Juckes et al. (2025), Appendix B, table5"
,Unit,K,Celsius?,°C,,K,K,,,,,https://library.wmo.int/records/item/58111-the-2022-gcos-ecvs-requirements
,Sign,,,,,,positive,,,,,
,Data type,double,,,,,double,,,,,https://gmd.copernicus.org/articles/18/2639/2025/
,Temporal resolution,monthly,annual,annual,,Annual snapshot (end of year),monthly,,,,,
,Metadata (if available),"each elevation bin is weighted equally to compute the mean temperature, and bins where the glacier no longer exists due to retreat have been removed",Average?,,,Ice temperature at surface,Mean near-surface (2 m) air temperature over glacierized area as used as input to mass balance calculations (i.e. possibly downscaled from gridded climate data),,,,,
Equilibrium line altitude,,,,,,,,-,optional,The spatially averaged altitude of the equilibrium line.,Annual ELA: The ELA at the end of the mass-balance year.,
,Var. short name,glac_ELA_annual,,,ELA,,ela,,,,,
,Var. long name,annual equilibrium line altitude above mean sea level,,,Equilibrium Line Altitude,,Altitude of the equilibrium line asl,,,,,"Cogley et al. (2011), p40"
,Unit,m,,,m,,m,,,,,
,Sign,,,,,,positive,,,,,
,Data type,double,,,double,,double,,,,,
,Temporal resolution,annual,,,annual,,annual,,,,,
,Metadata (if available),equilibrium line altitude is the elevation where the climatic mass balance is zero,,,,,Elevation of the annual equilibrium line (mean elevation where the climatic mass balance is zero at the end of the mass-balance year),,,,,
Snowline,,,,,,,,-,optional,"A set of points forming the lower limit of a snow-covered area; on a glacier, the line separating snow surfaces from ice or firn surfaces, and also separating the percolation zone from either the superimposed ice zone or the ablation zone.","Annual snowline: The snowline at the end of the ablation season, usually representing the highest position of the snowline during the mass-balance year",
,Var. short name,glac_snowline_monthly,,,Snowline,,snowline,,,,,
,Var. long name,transient snowline altitude above mean sea level,,,Snowline on the glacier,,Snowline altitude asl,,,,,"Cogley et al. (2011), p83"
,Unit,m,,,m,,m,,,,,
,Sign,,,,,,positive,,,,,
,Data type,double,,,double,,double,,,,,
,Temporal resolution,monthly,,,daily,,monthly,,,,,
,Metadata (if available),transient snowline is altitude separating snow from ice/firn,,,,,Elevation of the transient equilibrium line (mean elevation where the climatic mass balance is zero),,,,,
Accumulation Area Ratio,,,,,,,,-,Optional,"The ratio, often expressed as a percentage, of the area of the accumulation zone to the area of the glacier. The AAR is bounded between 0 and 1. On many glaciers it correlates well with the climatic mass balance. The likelihood that the climatic mass balance will be positive increases as the AAR approaches 1.",,
,Var. short name,,,,aar,,arr,,,,,
